batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
111,0.039885399512943245,0.927184991606175,0.0004274757002705409,20,80,40,43,0.07996947632065951,1.9376828706145286
40,0.4871692458444387,0.95636446183199,8.811369145855547e-06,36,89,84,29,0.4623989771333366,100000000.0
86,0.0875154323035234,0.8943358974621706,0.0027622165823724862,25,17,72,64,0.8857898894939222,3.8712077538490295
36,0.009754429627613755,0.8715303854880577,0.02555064428498383,40,48,65,84,0.3517489311982602,3.5331006908416747
69,0.017973760228392293,0.9759218711668297,0.0034575237482001,75,59,115,31,0.9480063242444464,100000000.0
94,0.005156656007691778,0.9954764498199808,0.00017396429575456445,105,35,18,22,0.24916955938628882,2.2959836867570877
50,0.07275766688563216,0.8548750118214922,2.5819326474721102e-05,94,23,24,50,0.7481666398326059,2.5738770425319673
241,0.2698947240904648,0.9199289347290371,0.008668213755751913,45,27,30,122,0.6401724508919961,3.806544565844536
159,0.02751533457006782,0.8137646990625518,5.292184104180431e-05,18,40,21,18,0.5264682107096144,2.325740117752552
181,0.1506600293575141,0.8230735532335397,0.0008894659055577712,63,104,50,80,0.16990239723741357,2.2339084775686264
121,0.18449391889854386,0.8144191032898355,5.310936619711023e-05,22,31,13,73,-0.03383153931020266,100000000.0
79,0.03217175271546744,0.9355461791975812,0.0012172132142549445,55,50,67,38,0.7025468583557841,2.7609893928050995
243,0.0037211170067494737,0.829350227594807,0.062304624932705124,52,18,17,83,0.5051420036281178,100000000.0
62,0.14402179842109483,0.9246109032726942,8.080023400685222e-05,39,60,56,37,0.47308473375703186,3.084194896364212
105,0.02313901676331073,0.8981065710336317,9.066746745835081e-05,83,127,19,33,-0.009961165562887953,100000000.0
90,0.06275519840993923,0.8952785658550358,0.0011757261220500768,33,28,51,54,0.6618521257297196,2.715685191869736
30,0.005425595842580398,0.8670356740169871,1.8534223290771397e-05,43,81,51,14,0.24047397855853236,100000000.0
