batch_size,lr,momentum,weight_decay,ch1,ch2,ch3,ch4,drop_rate,loss
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.0306725193023683
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.0097811559677123
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.030322645950317
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.031224702835083
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.0381381088256836
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.0257773979187013
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.056648295211792
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.0041276166915893
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.0187384471893313
128,0.05,0.9,0.0005,32,32,64,64,0.5,2.062894288635254
