batch_size,lr,momentum,weight_decay,width_coef1,width_coef2,width_coef3,n_blocks1,n_blocks2,n_blocks3,drop_rates1,drop_rates2,drop_rates3,lr_decay,loss
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8374310894012451
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8354984877586364
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8612753113746643
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8683770421981811
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8492462747573852
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8444396615982056
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8525184238910675
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8435320352554321
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.837420320892334
128,0.1,0.9,0.0005,10,10,10,4,4,4,0.2,0.2,0.2,0.2,0.8525224387168884
