shuhei:~.$ python nelder.py -model CNN -num 0 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.457            -1.914           0.884            -4.327           6.124            5.093            5.413            5.606          


shuhei:~.$ python env.py -model CNN -num 0 -round 0 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=1 python train.py -model CNN -num 0 -round 0 -batch_size 87 -lr 0.012195538566540142 -momentum 0.8836792049384968 -weight_decay 4.7145725338702536e-05 -ch1 69 -ch2 34 -ch3 42 -ch4 48 -drop_rate 0.26923253175535156
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.01220                 1                       0.12056                 3.78643                 0.20750                 3.23961                 2019-04-18 21:22:41.187962  
  0.01220                 2                       0.21318                 3.20562                 0.28790                 2.81301                 2019-04-18 21:22:45.883593  
  0.01220                 3                       0.25296                 2.98191                 0.32720                 2.62927                 2019-04-18 21:22:50.523460  
  0.01220                 4                       0.28194                 2.84228                 0.32830                 2.60049                 2019-04-18 21:22:55.211942  
  0.01220                 5                       0.30040                 2.74305                 0.35270                 2.48626                 2019-04-18 21:22:59.790441  
  0.01220                 6                       0.31530                 2.66503                 0.38260                 2.40696                 2019-04-18 21:23:04.428305  
  0.01220                 7                       0.33158                 2.60155                 0.38110                 2.35287                 2019-04-18 21:23:09.010191  
  0.01220                 8                       0.34232                 2.54319                 0.39690                 2.30003                 2019-04-18 21:23:13.551766  
  0.01220                 9                       0.35272                 2.49347                 0.40460                 2.26205                 2019-04-18 21:23:18.272615  
  0.01220                 10                      0.36006                 2.45589                 0.39990                 2.30192                 2019-04-18 21:23:22.909127  
  0.01220                 11                      0.36904                 2.40644                 0.42250                 2.18177                 2019-04-18 21:23:27.529691  
  0.01220                 12                      0.37762                 2.38444                 0.42470                 2.20945                 2019-04-18 21:23:32.172221  
  0.01220                 13                      0.38202                 2.34990                 0.44540                 2.11431                 2019-04-18 21:23:36.819570  
  0.01220                 14                      0.38798                 2.32431                 0.43280                 2.14470                 2019-04-18 21:23:41.406725  
  0.01220                 15                      0.39566                 2.29034                 0.45760                 2.06272                 2019-04-18 21:23:46.147212  
  0.01220                 16                      0.40066                 2.27293                 0.45500                 2.04529                 2019-04-18 21:23:50.751845  
  0.01220                 17                      0.40534                 2.24997                 0.45890                 2.06786                 2019-04-18 21:23:55.418004  
  0.01220                 18                      0.40600                 2.23432                 0.46620                 1.99723                 2019-04-18 21:24:00.126625  
  0.01220                 19                      0.41042                 2.22059                 0.47320                 1.97402                 2019-04-18 21:24:04.794987  
  0.01220                 20                      0.41408                 2.20656                 0.46590                 1.98814                 2019-04-18 21:24:09.395181  
  0.01220                 21                      0.41896                 2.19078                 0.46150                 2.05294                 2019-04-18 21:24:14.066367  
  0.01220                 22                      0.42090                 2.17287                 0.46990                 1.98820                 2019-04-18 21:24:18.788013  
  0.01220                 23                      0.42422                 2.15636                 0.46740                 1.97856                 2019-04-18 21:24:23.436613  
  0.01220                 24                      0.42750                 2.14577                 0.46520                 2.03742                 2019-04-18 21:24:28.086327  
  0.01220                 25                      0.43026                 2.13165                 0.47580                 1.95888                 2019-04-18 21:24:32.691879  
  0.01220                 26                      0.43246                 2.11587                 0.48250                 1.93295                 2019-04-18 21:24:37.250259  
  0.01220                 27                      0.43370                 2.11355                 0.48820                 1.91209                 2019-04-18 21:24:41.852224  
  0.01220                 28                      0.43828                 2.09482                 0.48980                 1.90871                 2019-04-18 21:24:46.457126  
  0.01220                 29                      0.43826                 2.09350                 0.48970                 1.88673                 2019-04-18 21:24:51.091965  
  0.01220                 30                      0.44444                 2.07291                 0.48780                 1.90660                 2019-04-18 21:24:55.762170  
  0.01220                 31                      0.44366                 2.06921                 0.49020                 1.91183                 2019-04-18 21:25:00.351666  
  0.01220                 32                      0.44488                 2.06387                 0.49290                 1.89017                 2019-04-18 21:25:04.992823  
  0.01220                 33                      0.44596                 2.05267                 0.49880                 1.86355                 2019-04-18 21:25:09.668455  
  0.01220                 34                      0.44652                 2.05340                 0.48700                 1.90783                 2019-04-18 21:25:14.191944  
  0.01220                 35                      0.44828                 2.04033                 0.50930                 1.82114                 2019-04-18 21:25:18.846987  
  0.01220                 36                      0.44808                 2.03611                 0.49960                 1.85713                 2019-04-18 21:25:23.490031  
  0.01220                 37                      0.45376                 2.02476                 0.50100                 1.86804                 2019-04-18 21:25:28.113635  
  0.01220                 38                      0.45622                 2.01091                 0.49450                 1.86968                 2019-04-18 21:25:32.796984  
  0.01220                 39                      0.45716                 2.00546                 0.50100                 1.85845                 2019-04-18 21:25:37.387979  
  0.01220                 40                      0.45978                 2.00239                 0.51060                 1.80450                 2019-04-18 21:25:41.951245  
  0.01220                 41                      0.45876                 2.00299                 0.50610                 1.84466                 2019-04-18 21:25:46.572842  
  0.01220                 42                      0.46288                 1.98977                 0.51010                 1.81293                 2019-04-18 21:25:51.167922  
  0.01220                 43                      0.46172                 1.97706                 0.50760                 1.84075                 2019-04-18 21:25:55.820047  
  0.01220                 44                      0.46398                 1.98394                 0.50150                 1.84572                 2019-04-18 21:26:00.496589  
  0.01220                 45                      0.46592                 1.97358                 0.50240                 1.87182                 2019-04-18 21:26:05.117683  
  0.01220                 46                      0.46300                 1.97475                 0.50840                 1.79573                 2019-04-18 21:26:09.697626  
  0.01220                 47                      0.46872                 1.96144                 0.50690                 1.84800                 2019-04-18 21:26:14.288517  
  0.01220                 48                      0.46878                 1.95923                 0.50690                 1.81654                 2019-04-18 21:26:18.977491  
  0.01220                 49                      0.46978                 1.95357                 0.50770                 1.81949                 2019-04-18 21:26:23.606534  
  0.01220                 50                      0.46972                 1.95160                 0.50340                 1.88157                 2019-04-18 21:26:28.165230  
  0.01220                 51                      0.46978                 1.94579                 0.51670                 1.79546                 2019-04-18 21:26:32.844727  
  0.01220                 52                      0.47332                 1.94131                 0.51490                 1.79013                 2019-04-18 21:26:37.449470  
  0.01220                 53                      0.47356                 1.93275                 0.51780                 1.79248                 2019-04-18 21:26:42.172262  
  0.01220                 54                      0.47350                 1.93018                 0.50600                 1.82748                 2019-04-18 21:26:46.835153  
  0.01220                 55                      0.47248                 1.93366                 0.51000                 1.81643                 2019-04-18 21:26:50.798364  
  0.01220                 56                      0.47516                 1.92324                 0.52040                 1.78767                 2019-04-18 21:26:55.278456  
  0.01220                 57                      0.47654                 1.92255                 0.50590                 1.83999                 2019-04-18 21:26:59.851023  
  0.01220                 58                      0.47614                 1.92544                 0.51780                 1.82302                 2019-04-18 21:27:04.493273  
  0.01220                 59                      0.47892                 1.91690                 0.51570                 1.81104                 2019-04-18 21:27:09.140264  
  0.01220                 60                      0.48176                 1.90465                 0.51970                 1.80069                 2019-04-18 21:27:13.816346  
  0.01220                 61                      0.47980                 1.90457                 0.52030                 1.79386                 2019-04-18 21:27:18.454043  
  0.01220                 62                      0.48172                 1.90113                 0.52580                 1.76810                 2019-04-18 21:27:23.130711  
  0.01220                 63                      0.48272                 1.90042                 0.51980                 1.77483                 2019-04-18 21:27:27.812053  
  0.01220                 64                      0.48218                 1.89540                 0.51690                 1.79478                 2019-04-18 21:27:32.458594  
  0.01220                 65                      0.48112                 1.89902                 0.51600                 1.77008                 2019-04-18 21:27:37.078703  
  0.01220                 66                      0.48458                 1.88403                 0.51350                 1.79295                 2019-04-18 21:27:41.632938  
  0.01220                 67                      0.48680                 1.88137                 0.52400                 1.75990                 2019-04-18 21:27:46.297326  
  0.01220                 68                      0.48498                 1.88669                 0.51800                 1.78080                 2019-04-18 21:27:50.884099  
  0.01220                 69                      0.48840                 1.88123                 0.52000                 1.79299                 2019-04-18 21:27:55.522831  
  0.01220                 70                      0.48608                 1.87503                 0.52250                 1.77719                 2019-04-18 21:28:00.238379  
  0.01220                 71                      0.49112                 1.86873                 0.52450                 1.74482                 2019-04-18 21:28:04.916668  
  0.01220                 72                      0.48810                 1.87284                 0.52280                 1.73494                 2019-04-18 21:28:09.559990  
  0.01220                 73                      0.48996                 1.87078                 0.52090                 1.77647                 2019-04-18 21:28:14.203591  
  0.01220                 74                      0.49034                 1.85929                 0.52520                 1.76602                 2019-04-18 21:28:18.843733  
  0.01220                 75                      0.49232                 1.85592                 0.52790                 1.74752                 2019-04-18 21:28:23.472014  
  0.01220                 76                      0.49126                 1.85487                 0.53100                 1.75237                 2019-04-18 21:28:28.112952  
  0.01220                 77                      0.49110                 1.85639                 0.52180                 1.80295                 2019-04-18 21:28:32.806399  
  0.01220                 78                      0.48826                 1.85766                 0.52850                 1.77109                 2019-04-18 21:28:37.481801  
  0.01220                 79                      0.49076                 1.85120                 0.52610                 1.77148                 2019-04-18 21:28:42.135398  
  0.01220                 80                      0.49218                 1.85247                 0.51870                 1.78081                 2019-04-18 21:28:46.777959  
  0.01220                 81                      0.49156                 1.84944                 0.52730                 1.75665                 2019-04-18 21:28:51.382769  
  0.01220                 82                      0.49666                 1.83735                 0.53240                 1.74783                 2019-04-18 21:28:56.023276  
  0.01220                 83                      0.49340                 1.84182                 0.53300                 1.72303                 2019-04-18 21:29:00.636567  
  0.01220                 84                      0.49300                 1.84161                 0.52810                 1.74540                 2019-04-18 21:29:05.319618  
  0.01220                 85                      0.49752                 1.83145                 0.53020                 1.75185                 2019-04-18 21:29:09.953830  
  0.01220                 86                      0.49874                 1.83058                 0.52780                 1.76462                 2019-04-18 21:29:14.574859  
  0.01220                 87                      0.49550                 1.83799                 0.53100                 1.73599                 2019-04-18 21:29:19.118229  
  0.01220                 88                      0.50014                 1.81578                 0.52440                 1.77572                 2019-04-18 21:29:23.752131  
  0.01220                 89                      0.49656                 1.82559                 0.52490                 1.75199                 2019-04-18 21:29:28.386045  
  0.01220                 90                      0.49964                 1.82833                 0.52820                 1.76053                 2019-04-18 21:29:32.988228  
  0.01220                 91                      0.50160                 1.81871                 0.53380                 1.74381                 2019-04-18 21:29:37.649069  
  0.01220                 92                      0.49892                 1.82289                 0.53140                 1.77078                 2019-04-18 21:29:42.272721  
  0.01220                 93                      0.49802                 1.81808                 0.52760                 1.78623                 2019-04-18 21:29:46.905748  
  0.01220                 94                      0.50132                 1.81408                 0.52760                 1.75296                 2019-04-18 21:29:51.547596  
  0.01220                 95                      0.50092                 1.81724                 0.53180                 1.71449                 2019-04-18 21:29:56.190694  
  0.01220                 96                      0.50058                 1.81404                 0.53780                 1.73488                 2019-04-18 21:30:00.842860  
  0.01220                 97                      0.50340                 1.81418                 0.52940                 1.76487                 2019-04-18 21:30:05.481753  
  0.01220                 98                      0.49868                 1.81598                 0.53300                 1.70903                 2019-04-18 21:30:10.123404  
  0.01220                 99                      0.50188                 1.81281                 0.53690                 1.71244                 2019-04-18 21:30:14.809445  
  0.01220                 100                     0.50414                 1.80292                 0.52450                 1.74609                 2019-04-18 21:30:19.401140  
  0.01220                 101                     0.50534                 1.80513                 0.53140                 1.73709                 2019-04-18 21:30:24.054803  
  0.01220                 102                     0.50170                 1.81058                 0.52750                 1.75152                 2019-04-18 21:30:28.746609  
  0.01220                 103                     0.50394                 1.79723                 0.53120                 1.74311                 2019-04-18 21:30:33.324409  
  0.01220                 104                     0.50060                 1.80177                 0.54000                 1.72462                 2019-04-18 21:30:37.971452  
  0.01220                 105                     0.50816                 1.79194                 0.53230                 1.72277                 2019-04-18 21:30:42.627106  
  0.01220                 106                     0.50396                 1.79925                 0.53070                 1.74085                 2019-04-18 21:30:47.345899  
  0.01220                 107                     0.50598                 1.78820                 0.52870                 1.76935                 2019-04-18 21:30:51.919876  
  0.01220                 108                     0.50588                 1.78546                 0.53110                 1.73852                 2019-04-18 21:30:56.480984  
  0.01220                 109                     0.50590                 1.79038                 0.53810                 1.70752                 2019-04-18 21:31:01.090146  
  0.01220                 110                     0.50790                 1.78697                 0.52670                 1.73946                 2019-04-18 21:31:05.722948  
  0.01220                 111                     0.50588                 1.79540                 0.52740                 1.73297                 2019-04-18 21:31:10.356617  
  0.01220                 112                     0.50778                 1.78711                 0.53930                 1.71844                 2019-04-18 21:31:14.980585  
  0.01220                 113                     0.50616                 1.78836                 0.54090                 1.70652                 2019-04-18 21:31:19.618860  
  0.01220                 114                     0.50638                 1.78567                 0.52830                 1.75013                 2019-04-18 21:31:24.310066  
  0.01220                 115                     0.50560                 1.78593                 0.53340                 1.73110                 2019-04-18 21:31:28.932355  
  0.01220                 116                     0.50990                 1.77719                 0.53080                 1.72956                 2019-04-18 21:31:33.575497  
  0.01220                 117                     0.50712                 1.78926                 0.53180                 1.71443                 2019-04-18 21:31:38.173362  
  0.01220                 118                     0.50850                 1.77696                 0.53630                 1.71657                 2019-04-18 21:31:42.779212  
  0.01220                 119                     0.50886                 1.77400                 0.52820                 1.73312                 2019-04-18 21:31:47.437977  
  0.01220                 120                     0.50586                 1.77640                 0.53180                 1.71959                 2019-04-18 21:31:52.098920  
  0.01220                 121                     0.51082                 1.77579                 0.53230                 1.70589                 2019-04-18 21:31:56.742200  
  0.01220                 122                     0.51198                 1.77675                 0.53770                 1.70898                 2019-04-18 21:32:01.387217  
  0.01220                 123                     0.51024                 1.76288                 0.53920                 1.72537                 2019-04-18 21:32:06.053835  
