shuhei:~.$ python nelder.py -model CNN -num 0 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.863            -2.023           0.899            -4.365           6.468            4.524            5.726            5.804          
  6.836            -1.993           0.903            -4.290           6.431            4.612            5.726            5.861          
  6.977            -1.961           0.905            -4.434           6.477            4.584            5.738            5.889          
  6.780            -2.055           0.891            -4.296           6.529            4.715            5.584            5.819          
  6.662            -2.028           0.897            -4.392           6.362            4.665            5.726            5.741          
  6.937            -1.944           0.895            -4.351           6.537            4.584            5.584            6.044          
  6.836            -1.984           0.896            -4.318           6.441            4.612            5.658            5.861          
  6.836            -1.958           0.896            -4.238           6.468            4.524            5.763            5.861          
  6.913            -1.914           0.895            -4.180           6.441            4.715            5.568            5.953          


shuhei:~.$ python env.py -model CNN -num 0 -round 0 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=1 python train.py -model CNN -num 0 -round 0 -batch_size 116 -lr 0.009477281978503416 -momentum 0.8989316317606257 -weight_decay 4.318980765341276e-05 -ch1 88 -ch2 23 -ch3 52 -ch4 55 -drop_rate 0.2554868774144591
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.00948                 1                       0.11422                 3.83543                 0.15190                 3.71592                 2019-04-19 02:03:27.899069  
  0.00948                 2                       0.20902                 3.23764                 0.25210                 3.03677                 2019-04-19 02:03:32.451098  
  0.00948                 3                       0.25422                 2.98666                 0.22140                 3.31724                 2019-04-19 02:03:37.054344  
  0.00948                 4                       0.28168                 2.85144                 0.29860                 2.80980                 2019-04-19 02:03:41.572201  
  0.00948                 5                       0.29972                 2.74957                 0.32180                 2.70182                 2019-04-19 02:03:46.103231  
  0.00948                 6                       0.31982                 2.66488                 0.27510                 3.09642                 2019-04-19 02:03:50.611369  
  0.00948                 7                       0.33256                 2.60316                 0.32750                 2.68648                 2019-04-19 02:03:55.123273  
  0.00948                 8                       0.34414                 2.54523                 0.33090                 2.67384                 2019-04-19 02:03:59.721328  
  0.00948                 9                       0.35116                 2.50380                 0.37180                 2.46905                 2019-04-19 02:04:04.200183  
  0.00948                 10                      0.36110                 2.45402                 0.37310                 2.62259                 2019-04-19 02:04:08.727327  
  0.00948                 11                      0.37116                 2.41689                 0.36840                 2.55567                 2019-04-19 02:04:13.272445  
  0.00948                 12                      0.37556                 2.38760                 0.37570                 2.49342                 2019-04-19 02:04:17.807168  
  0.00948                 13                      0.38332                 2.35609                 0.36680                 2.57052                 2019-04-19 02:04:22.389712  
  0.00948                 14                      0.38906                 2.32984                 0.33180                 2.86619                 2019-04-19 02:04:27.026343  
  0.00948                 15                      0.39222                 2.31325                 0.42740                 2.21434                 2019-04-19 02:04:31.625934  
  0.00948                 16                      0.40108                 2.27986                 0.37540                 2.62874                 2019-04-19 02:04:36.065672  
  0.00948                 17                      0.40394                 2.26110                 0.42540                 2.18991                 2019-04-19 02:04:40.590931  
  0.00948                 18                      0.40630                 2.24349                 0.36350                 2.57650                 2019-04-19 02:04:45.180997  
  0.00948                 19                      0.41268                 2.22445                 0.39190                 2.63555                 2019-04-19 02:04:49.754643  
  0.00948                 20                      0.41404                 2.21665                 0.45000                 2.09304                 2019-04-19 02:04:54.243203  
  0.00948                 21                      0.42026                 2.18848                 0.43700                 2.15433                 2019-04-19 02:04:58.841551  
  0.00948                 22                      0.42400                 2.17092                 0.39930                 2.39810                 2019-04-19 02:05:03.367348  
  0.00948                 23                      0.42690                 2.16443                 0.32240                 3.52635                 2019-04-19 02:05:07.851163  
  0.00948                 24                      0.42616                 2.16718                 0.43830                 2.20619                 2019-04-19 02:05:12.422608  
  0.00948                 25                      0.43094                 2.13283                 0.44130                 2.14659                 2019-04-19 02:05:16.970822  
  0.00948                 26                      0.43280                 2.12555                 0.46740                 2.02423                 2019-04-19 02:05:21.658065  
  0.00948                 27                      0.43908                 2.10916                 0.41100                 2.36943                 2019-04-19 02:05:26.201840  
  0.00948                 28                      0.43570                 2.11217                 0.43570                 2.24502                 2019-04-19 02:05:30.754313  
  0.00948                 29                      0.43860                 2.10172                 0.47350                 2.00881                 2019-04-19 02:05:35.263160  
  0.00948                 30                      0.44288                 2.07814                 0.47470                 1.96070                 2019-04-19 02:05:39.886640  
  0.00948                 31                      0.44780                 2.06951                 0.45790                 2.04407                 2019-04-19 02:05:44.387480  
  0.00948                 32                      0.44830                 2.05895                 0.43380                 2.23291                 2019-04-19 02:05:48.904044  
  0.00948                 33                      0.44978                 2.06099                 0.46560                 2.01926                 2019-04-19 02:05:53.489856  
  0.00948                 34                      0.44934                 2.05235                 0.47510                 2.00894                 2019-04-19 02:05:58.018747  
  0.00948                 35                      0.45508                 2.02630                 0.48500                 1.97576                 2019-04-19 02:06:02.575627  
  0.00948                 36                      0.45530                 2.02863                 0.47790                 2.00881                 2019-04-19 02:06:07.148957  
  0.00948                 37                      0.45634                 2.01689                 0.49110                 1.91105                 2019-04-19 02:06:11.678152  
  0.00948                 38                      0.45902                 2.01498                 0.50260                 1.86401                 2019-04-19 02:06:16.271572  
  0.00948                 39                      0.45614                 2.00946                 0.42440                 2.47753                 2019-04-19 02:06:20.836922  
  0.00948                 40                      0.45984                 2.01490                 0.45640                 2.09998                 2019-04-19 02:06:25.330372  
  0.00948                 41                      0.46202                 2.00092                 0.49100                 1.90483                 2019-04-19 02:06:29.845134  
  0.00948                 42                      0.46288                 1.98925                 0.47950                 1.99424                 2019-04-19 02:06:34.441197  
  0.00948                 43                      0.46924                 1.98791                 0.47160                 2.00383                 2019-04-19 02:06:39.042576  
  0.00948                 44                      0.46440                 1.98392                 0.48920                 1.94800                 2019-04-19 02:06:43.665847  
  0.00948                 45                      0.46574                 1.97892                 0.49820                 1.87295                 2019-04-19 02:06:48.300652  
  0.00948                 46                      0.46968                 1.96222                 0.50050                 1.84652                 2019-04-19 02:06:52.830513  
  0.00948                 47                      0.46852                 1.96957                 0.49760                 1.86945                 2019-04-19 02:06:57.396039  
  0.00948                 48                      0.47476                 1.95395                 0.47640                 2.00870                 2019-04-19 02:07:01.921097  
  0.00948                 49                      0.47052                 1.96037                 0.49670                 1.88318                 2019-04-19 02:07:06.425745  
  0.00948                 50                      0.47518                 1.94666                 0.50940                 1.84385                 2019-04-19 02:07:10.894029  
  0.00948                 51                      0.47294                 1.94107                 0.50270                 1.85626                 2019-04-19 02:07:15.446124  
  0.00948                 52                      0.47592                 1.93257                 0.49330                 1.88067                 2019-04-19 02:07:19.908168  
  0.00948                 53                      0.47858                 1.92774                 0.47680                 1.98459                 2019-04-19 02:07:24.462921  
  0.00948                 54                      0.47932                 1.92160                 0.50660                 1.81503                 2019-04-19 02:07:29.097805  
  0.00948                 55                      0.48004                 1.91843                 0.44900                 2.10496                 2019-04-19 02:07:33.670622  
  0.00948                 56                      0.48064                 1.93242                 0.50660                 1.84731                 2019-04-19 02:07:38.224198  
  0.00948                 57                      0.48048                 1.91413                 0.50980                 1.82453                 2019-04-19 02:07:42.822605  
  0.00948                 58                      0.48052                 1.91360                 0.47920                 1.97807                 2019-04-19 02:07:47.338266  
  0.00948                 59                      0.48060                 1.91205                 0.50320                 1.87348                 2019-04-19 02:07:51.862206  
  0.00948                 60                      0.48388                 1.91067                 0.46690                 2.01479                 2019-04-19 02:07:56.408872  
  0.00948                 61                      0.48376                 1.90586                 0.46310                 2.10741                 2019-04-19 02:08:00.907060  
  0.00948                 62                      0.48180                 1.90427                 0.48290                 1.95809                 2019-04-19 02:08:05.375939  
  0.00948                 63                      0.48434                 1.89981                 0.51710                 1.80204                 2019-04-19 02:08:09.972692  
  0.00948                 64                      0.48956                 1.88634                 0.49670                 1.91171                 2019-04-19 02:08:14.580997  
  0.00948                 65                      0.48534                 1.89521                 0.50660                 1.83330                 2019-04-19 02:08:19.133382  
  0.00948                 66                      0.48820                 1.87833                 0.51010                 1.83962                 2019-04-19 02:08:23.857236  
  0.00948                 67                      0.48822                 1.87830                 0.50350                 1.90769                 2019-04-19 02:08:28.397625  
  0.00948                 68                      0.49104                 1.87722                 0.51970                 1.77552                 2019-04-19 02:08:32.913617  
  0.00948                 69                      0.48956                 1.87100                 0.50680                 1.89828                 2019-04-19 02:08:37.403454  
  0.00948                 70                      0.49196                 1.86792                 0.51340                 1.80281                 2019-04-19 02:08:42.046006  
  0.00948                 71                      0.49046                 1.86992                 0.48190                 2.01085                 2019-04-19 02:08:46.530440  
  0.00948                 72                      0.48782                 1.87186                 0.45960                 2.09312                 2019-04-19 02:08:51.064732  
  0.00948                 73                      0.49126                 1.87518                 0.49620                 1.91048                 2019-04-19 02:08:55.606922  
  0.00948                 74                      0.49128                 1.86570                 0.52360                 1.76266                 2019-04-19 02:09:00.162430  
  0.00948                 75                      0.49824                 1.84435                 0.48780                 1.98589                 2019-04-19 02:09:04.772403  
  0.00948                 76                      0.49442                 1.85961                 0.50400                 1.88339                 2019-04-19 02:09:09.355106  
  0.00948                 77                      0.49592                 1.85075                 0.50020                 1.93191                 2019-04-19 02:09:13.827453  
  0.00948                 78                      0.50024                 1.84223                 0.47930                 2.04210                 2019-04-19 02:09:18.383881  
  0.00948                 79                      0.49804                 1.86339                 0.50800                 1.84889                 2019-04-19 02:09:22.859512  
  0.00948                 80                      0.49584                 1.84755                 0.50800                 1.83925                 2019-04-19 02:09:27.461692  
