shuhei:~.$ python nelder.py -model CNN -num 1 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.922            -0.376           0.869            -4.414           6.464            6.383            4.670            5.900            0.178          
  6.165            -1.527           0.858            -2.228           4.116            5.241            4.555            5.408            0.433          
  6.304            -1.069           0.915            -3.983           5.435            4.271            6.405            5.511            0.987          
  5.325            -1.800           0.892            -1.615           6.099            5.166            5.138            6.702            0.868          
  5.297            -0.838           0.972            -4.540           6.835            6.010            4.125            5.176            0.785          
  7.441            -1.181           0.925            -2.766           4.928            6.892            5.878            6.309            0.264          
  6.661            -2.193           0.997            -3.512           4.844            5.785            5.477            6.647            0.045          
  7.912            -1.366           0.812            -1.798           6.315            6.698            6.836            4.196            0.561          
  7.229            -1.945           0.827            -2.970           4.455            4.382            6.241            4.431            0.655          
  5.685            -0.693           0.950            -4.975           5.616            4.785            5.656            4.869            0.397          


shuhei:~.$ python env.py -model CNN -num 1 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 1 -round 0 -batch_size 121 -lr 0.4204530677526443 -momentum 0.8688078493009814 -weight_decay 3.856714997834235e-05 -ch1 88 -ch2 83 -ch3 25 -ch4 59 -drop_rate 0.17841871903022874
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.42045                 1                       0.08964                 3.99385                 0.10730                 4.40009                 2019-04-18 11:35:19.346878  
  0.42045                 2                       0.13612                 3.69902                 0.11430                 5.01235                 2019-04-18 11:35:23.076732  
  0.42045                 3                       0.16220                 3.55936                 0.16030                 3.66563                 2019-04-18 11:35:26.789864  
  0.42045                 4                       0.18048                 3.43837                 0.10260                 3.90182                 2019-04-18 11:35:30.492509  
  0.42045                 5                       0.19092                 3.37194                 0.13010                 4.21909                 2019-04-18 11:35:34.210540  
  0.42045                 6                       0.20162                 3.31227                 0.16770                 3.89142                 2019-04-18 11:35:38.255557  
  0.42045                 7                       0.20608                 3.28471                 0.24060                 3.11351                 2019-04-18 11:35:42.801186  
  0.42045                 8                       0.21516                 3.24143                 0.14920                 3.78482                 2019-04-18 11:35:47.485197  
  0.42045                 9                       0.01644                 nan                     0.01000                 nan                     2019-04-18 11:35:52.160585  
  0.42045                 10                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:35:56.835924  
  0.42045                 11                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:01.486495  
  0.42045                 12                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:06.158526  
  0.42045                 13                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:10.787879  
  0.42045                 14                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:15.298839  
  0.42045                 15                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:19.879000  
  0.42045                 16                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:24.358059  
  0.42045                 17                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:28.924017  
  0.42045                 18                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:33.454641  
  0.42045                 19                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:37.945396  
  0.42045                 20                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:42.502556  
  0.42045                 21                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:47.081297  
  0.42045                 22                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:51.596420  
  0.42045                 23                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:36:56.212927  
  0.42045                 24                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:00.771785  
  0.42045                 25                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:05.359218  
  0.42045                 26                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:09.905619  
  0.42045                 27                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:14.600621  
  0.42045                 28                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:19.174956  
  0.42045                 29                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:23.767489  
  0.42045                 30                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:28.325584  
  0.42045                 31                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:32.896523  
  0.42045                 32                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:37.487418  
  0.42045                 33                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:42.144559  
  0.42045                 34                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:46.704796  
  0.42045                 35                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:51.297964  
  0.42045                 36                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:37:55.909639  
  0.42045                 37                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:38:00.526575  
  0.42045                 38                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:38:05.112262  
  0.42045                 39                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:38:09.645032  
  0.42045                 40                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:38:14.234687  
  0.42045                 41                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:38:18.817894  
  0.42045                 42                      0.01000                 nan                     0.01000                 nan                     2019-04-18 11:38:23.302248  
