shuhei:~.$ python nelder.py -model CNN -num 1 -round 0
Will collect a position from the storage.


shuhei:~.$ python env.py -model CNN -num 1 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 1 -round 0 -batch_size 210 -lr 0.013590080954086295 -momentum 0.949410026056569 -weight_decay 2.9567038760289683e-05 -ch1 40 -ch2 37 -ch3 102 -ch4 45 -drop_rate 0.2233141363979399
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.01359                 1                       0.13340                 3.72768                 0.18960                 3.40982                 2019-04-19 09:47:32.204081  
  0.01359                 2                       0.23650                 3.09081                 0.27930                 2.90478                 2019-04-19 09:47:36.671402  
  0.01359                 3                       0.27964                 2.85415                 0.34710                 2.53805                 2019-04-19 09:47:41.173256  
  0.01359                 4                       0.31366                 2.69490                 0.35490                 2.55206                 2019-04-19 09:47:45.584774  
  0.01359                 5                       0.34006                 2.56070                 0.26390                 3.80605                 2019-04-19 09:47:50.076610  
  0.01359                 6                       0.35722                 2.48513                 0.39390                 2.35453                 2019-04-19 09:47:54.467047  
  0.01359                 7                       0.37708                 2.38507                 0.41620                 2.23801                 2019-04-19 09:47:58.915156  
  0.01359                 8                       0.38550                 2.33175                 0.43240                 2.17235                 2019-04-19 09:48:03.282277  
  0.01359                 9                       0.40344                 2.26450                 0.40030                 2.37194                 2019-04-19 09:48:07.718921  
  0.01359                 10                      0.41286                 2.21441                 0.42200                 2.23992                 2019-04-19 09:48:12.155915  
  0.01359                 11                      0.42294                 2.17219                 0.45480                 2.09163                 2019-04-19 09:48:16.687457  
  0.01359                 12                      0.43572                 2.12237                 0.46960                 2.00754                 2019-04-19 09:48:21.130597  
  0.01359                 13                      0.44270                 2.08981                 0.42970                 2.28051                 2019-04-19 09:48:25.627356  
  0.01359                 14                      0.45116                 2.06860                 0.48390                 1.94823                 2019-04-19 09:48:30.103944  
  0.01359                 15                      0.45412                 2.03901                 0.43740                 2.23102                 2019-04-19 09:48:34.445414  
  0.01359                 16                      0.46184                 2.00101                 0.48640                 1.96672                 2019-04-19 09:48:38.947357  
  0.01359                 17                      0.46612                 1.98804                 0.49710                 1.89451                 2019-04-19 09:48:43.349891  
  0.01359                 18                      0.47174                 1.96447                 0.49970                 1.88227                 2019-04-19 09:48:47.824641  
  0.01359                 19                      0.47350                 1.94147                 0.49650                 1.87080                 2019-04-19 09:48:52.264451  
  0.01359                 20                      0.48000                 1.92470                 0.50440                 1.84200                 2019-04-19 09:48:56.744102  
  0.01359                 21                      0.48512                 1.90242                 0.44330                 2.28349                 2019-04-19 09:49:01.236888  
  0.01359                 22                      0.48710                 1.89585                 0.51080                 1.85097                 2019-04-19 09:49:05.687781  
  0.01359                 23                      0.49302                 1.86656                 0.50840                 1.84723                 2019-04-19 09:49:10.089802  
  0.01359                 24                      0.49222                 1.86180                 0.48040                 2.09294                 2019-04-19 09:49:14.474755  
  0.01359                 25                      0.49556                 1.84875                 0.49080                 1.94759                 2019-04-19 09:49:18.902704  
  0.01359                 26                      0.50062                 1.83248                 0.52250                 1.79894                 2019-04-19 09:49:23.422583  
  0.01359                 27                      0.50440                 1.81062                 0.52680                 1.79494                 2019-04-19 09:49:27.852181  
  0.01359                 28                      0.50636                 1.80628                 0.52110                 1.82885                 2019-04-19 09:49:32.330927  
  0.01359                 29                      0.51074                 1.79558                 0.51950                 1.83554                 2019-04-19 09:49:36.768825  
  0.01359                 30                      0.51066                 1.78992                 0.52920                 1.79157                 2019-04-19 09:49:41.116519  
  0.01359                 31                      0.51574                 1.77990                 0.53350                 1.75759                 2019-04-19 09:49:45.523965  
  0.01359                 32                      0.51732                 1.76571                 0.51720                 1.83169                 2019-04-19 09:49:49.971635  
  0.01359                 33                      0.51940                 1.75528                 0.51220                 1.88443                 2019-04-19 09:49:54.425977  
  0.01359                 34                      0.51992                 1.74689                 0.52350                 1.78138                 2019-04-19 09:49:58.827075  
  0.01359                 35                      0.52206                 1.72978                 0.51910                 1.83754                 2019-04-19 09:50:03.214251  
  0.01359                 36                      0.52138                 1.72815                 0.52800                 1.79916                 2019-04-19 09:50:07.743029  
  0.01359                 37                      0.52650                 1.72116                 0.53620                 1.77318                 2019-04-19 09:50:12.196886  
  0.01359                 38                      0.52818                 1.71365                 0.53370                 1.77332                 2019-04-19 09:50:16.582183  
  0.01359                 39                      0.52748                 1.71236                 0.53540                 1.76322                 2019-04-19 09:50:21.032593  
  0.01359                 40                      0.53456                 1.69416                 0.53670                 1.78193                 2019-04-19 09:50:25.504144  
  0.01359                 41                      0.53396                 1.68868                 0.52970                 1.78983                 2019-04-19 09:50:29.959701  
  0.01359                 42                      0.53488                 1.68880                 0.53110                 1.82262                 2019-04-19 09:50:34.482280  
  0.01359                 43                      0.53288                 1.67875                 0.53570                 1.73639                 2019-04-19 09:50:38.884874  
  0.01359                 44                      0.53890                 1.66900                 0.52560                 1.82976                 2019-04-19 09:50:43.430328  
  0.01359                 45                      0.53908                 1.66232                 0.53370                 1.80570                 2019-04-19 09:50:47.911209  
  0.01359                 46                      0.54020                 1.66118                 0.54070                 1.72117                 2019-04-19 09:50:52.345363  
  0.01359                 47                      0.54154                 1.65079                 0.54650                 1.76310                 2019-04-19 09:50:56.725953  
  0.01359                 48                      0.54346                 1.64601                 0.54710                 1.72231                 2019-04-19 09:51:01.211657  
  0.01359                 49                      0.54306                 1.64881                 0.54130                 1.74913                 2019-04-19 09:51:05.597448  
  0.01359                 50                      0.54214                 1.64266                 0.54890                 1.68174                 2019-04-19 09:51:10.036242  
  0.01359                 51                      0.54512                 1.63152                 0.53850                 1.74545                 2019-04-19 09:51:14.462809  
  0.01359                 52                      0.55162                 1.61481                 0.55080                 1.71845                 2019-04-19 09:51:18.876740  
  0.01359                 53                      0.54924                 1.61716                 0.54610                 1.69863                 2019-04-19 09:51:23.364022  
  0.01359                 54                      0.54926                 1.61322                 0.52750                 1.85971                 2019-04-19 09:51:27.859199  
  0.01359                 55                      0.54930                 1.61414                 0.54090                 1.76502                 2019-04-19 09:51:32.304977  
  0.01359                 56                      0.55192                 1.60448                 0.54520                 1.73168                 2019-04-19 09:51:36.780048  
  0.01359                 57                      0.55536                 1.60266                 0.54920                 1.71030                 2019-04-19 09:51:41.408020  
  0.01359                 58                      0.55476                 1.60335                 0.55070                 1.71888                 2019-04-19 09:51:45.945446  
  0.01359                 59                      0.55406                 1.59564                 0.55060                 1.69340                 2019-04-19 09:51:50.452374  
  0.01359                 60                      0.55780                 1.57777                 0.55210                 1.67601                 2019-04-19 09:51:54.964193  
  0.01359                 61                      0.55772                 1.58778                 0.54770                 1.73348                 2019-04-19 09:51:59.524133  
  0.01359                 62                      0.55774                 1.57662                 0.54810                 1.72492                 2019-04-19 09:52:04.068394  
  0.01359                 63                      0.55738                 1.58233                 0.55830                 1.67058                 2019-04-19 09:52:08.581626  
  0.01359                 64                      0.55980                 1.56434                 0.54810                 1.69715                 2019-04-19 09:52:13.018157  
  0.01359                 65                      0.55908                 1.57139                 0.54950                 1.72951                 2019-04-19 09:52:17.517726  
  0.01359                 66                      0.55960                 1.56953                 0.56740                 1.68996                 2019-04-19 09:52:21.953447  
  0.01359                 67                      0.56242                 1.55688                 0.55590                 1.70143                 2019-04-19 09:52:26.387556  
  0.01359                 68                      0.56560                 1.55162                 0.56210                 1.68246                 2019-04-19 09:52:30.740358  
  0.01359                 69                      0.56400                 1.56032                 0.55750                 1.67518                 2019-04-19 09:52:35.196455  
  0.01359                 70                      0.56546                 1.54447                 0.56380                 1.66575                 2019-04-19 09:52:39.701264  
  0.01359                 71                      0.56788                 1.54647                 0.55110                 1.71991                 2019-04-19 09:52:44.208109  
  0.01359                 72                      0.57032                 1.52987                 0.54650                 1.77623                 2019-04-19 09:52:48.631229  
  0.01359                 73                      0.57148                 1.53300                 0.54970                 1.73508                 2019-04-19 09:52:53.199023  
  0.01359                 74                      0.57034                 1.53281                 0.56260                 1.65337                 2019-04-19 09:52:57.643370  
  0.01359                 75                      0.57086                 1.53403                 0.55570                 1.70323                 2019-04-19 09:53:02.112368  
  0.01359                 76                      0.56606                 1.53181                 0.55680                 1.68610                 2019-04-19 09:53:06.615363  
  0.01359                 77                      0.57078                 1.53101                 0.55070                 1.76343                 2019-04-19 09:53:11.109842  
