shuhei:~.$ python nelder.py -model CNN -num 2 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.803            -1.399           0.927            -3.369           4.350            6.325            5.357            5.454            0.080          
  5.341            -0.312           0.956            -5.055           5.178            6.491            6.408            4.862            0.462          
  6.427            -1.058           0.894            -2.559           4.658            4.088            6.187            6.010            0.886          
  5.192            -2.011           0.872            -1.593           5.342            5.587            6.037            6.405            0.352          
  6.123            -1.745           0.976            -2.461           6.247            5.897            6.848            4.968            0.948          
  6.564            -2.288           0.995            -3.760           6.720            5.167            4.218            4.512            0.249          
  5.672            -1.138           0.855            -4.588           6.566            4.551            4.636            5.649            0.748          
  7.914            -0.569           0.920            -2.062           5.520            4.803            4.932            6.932            0.640          
  7.321            -1.560           0.814            -4.276           4.247            5.346            4.425            4.203            0.526          
  7.504            -0.822           0.823            -3.051           5.988            6.704            5.659            6.335            0.170          


shuhei:~.$ python env.py -model CNN -num 2 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 2 -round 0 -batch_size 111 -lr 0.039885399512943245 -momentum 0.927184991606175 -weight_decay 0.0004274757002705409 -ch1 20 -ch2 80 -ch3 40 -ch4 43 -drop_rate 0.07996947632065951
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.03989                 1                       0.14470                 3.61572                 0.21310                 3.20256                 2019-04-19 14:01:51.189207  
  0.03989                 2                       0.24532                 3.03579                 0.30010                 2.82963                 2019-04-19 14:01:55.734454  
  0.03989                 3                       0.28766                 2.81849                 0.32890                 2.59651                 2019-04-19 14:02:00.398579  
  0.03989                 4                       0.31190                 2.68084                 0.34530                 2.56080                 2019-04-19 14:02:05.002021  
  0.03989                 5                       0.32896                 2.59934                 0.36280                 2.43857                 2019-04-19 14:02:09.596670  
  0.03989                 6                       0.34824                 2.52112                 0.38830                 2.37795                 2019-04-19 14:02:14.140387  
  0.03989                 7                       0.36060                 2.45832                 0.38980                 2.31800                 2019-04-19 14:02:18.668044  
  0.03989                 8                       0.37086                 2.40800                 0.39830                 2.29469                 2019-04-19 14:02:23.233560  
  0.03989                 9                       0.37920                 2.37438                 0.40310                 2.27443                 2019-04-19 14:02:27.772849  
  0.03989                 10                      0.38362                 2.34983                 0.40260                 2.31465                 2019-04-19 14:02:32.390306  
  0.03989                 11                      0.39164                 2.31599                 0.41430                 2.24052                 2019-04-19 14:02:36.598903  
  0.03989                 12                      0.39628                 2.29162                 0.42340                 2.19008                 2019-04-19 14:02:40.953627  
  0.03989                 13                      0.40104                 2.26809                 0.41800                 2.27511                 2019-04-19 14:02:45.508143  
  0.03989                 14                      0.40540                 2.24622                 0.43560                 2.17704                 2019-04-19 14:02:50.132624  
  0.03989                 15                      0.41068                 2.23425                 0.40430                 2.31241                 2019-04-19 14:02:55.058905  
  0.03989                 16                      0.41164                 2.22111                 0.43740                 2.12064                 2019-04-19 14:02:59.920800  
  0.03989                 17                      0.41596                 2.20006                 0.44220                 2.10194                 2019-04-19 14:03:04.548174  
  0.03989                 18                      0.42012                 2.18743                 0.43910                 2.16230                 2019-04-19 14:03:09.098905  
  0.03989                 19                      0.41824                 2.18499                 0.43870                 2.11014                 2019-04-19 14:03:13.733067  
  0.03989                 20                      0.42214                 2.16592                 0.44210                 2.13583                 2019-04-19 14:03:18.408042  
  0.03989                 21                      0.42148                 2.17081                 0.43050                 2.15438                 2019-04-19 14:03:23.035177  
  0.03989                 22                      0.42394                 2.15893                 0.45110                 2.08870                 2019-04-19 14:03:27.637262  
  0.03989                 23                      0.42856                 2.14168                 0.43170                 2.19879                 2019-04-19 14:03:32.294868  
  0.03989                 24                      0.43100                 2.13890                 0.44460                 2.11204                 2019-04-19 14:03:37.614170  
  0.03989                 25                      0.43096                 2.13145                 0.44910                 2.13802                 2019-04-19 14:03:42.936602  
  0.03989                 26                      0.43152                 2.12423                 0.44120                 2.10895                 2019-04-19 14:03:47.981664  
  0.03989                 27                      0.43304                 2.11625                 0.43100                 2.20831                 2019-04-19 14:03:52.759495  
  0.03989                 28                      0.43550                 2.10923                 0.44220                 2.09181                 2019-04-19 14:03:57.520033  
  0.03989                 29                      0.43594                 2.11028                 0.43510                 2.11252                 2019-04-19 14:04:02.343622  
  0.03989                 30                      0.43538                 2.10285                 0.44910                 2.11602                 2019-04-19 14:04:07.028657  
  0.03989                 31                      0.43464                 2.10403                 0.44550                 2.15350                 2019-04-19 14:04:11.858201  
