shuhei:~.$ python nelder.py -model CNN -num 2 -round 0
Will collect a position from the storage.


shuhei:~.$ python env.py -model CNN -num 2 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 2 -round 0 -batch_size 70 -lr 0.012446013430450212 -momentum 0.8537134649168728 -weight_decay 0.00020346467546089313 -ch1 67 -ch2 73 -ch3 27 -ch4 35 -drop_rate 0.1257193647298226
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.01245                 1                       0.12632                 3.75584                 0.20280                 3.29664                 2019-04-20 11:59:03.338455  
  0.01245                 2                       0.21996                 3.16034                 0.25170                 3.02321                 2019-04-20 11:59:08.131704  
  0.01245                 3                       0.27066                 2.90021                 0.31420                 2.68696                 2019-04-20 11:59:12.965307  
  0.01245                 4                       0.30246                 2.73802                 0.36430                 2.44978                 2019-04-20 11:59:17.818502  
  0.01245                 5                       0.32572                 2.62001                 0.35850                 2.45838                 2019-04-20 11:59:22.692335  
  0.01245                 6                       0.34128                 2.54029                 0.39280                 2.32030                 2019-04-20 11:59:27.557100  
  0.01245                 7                       0.35776                 2.46310                 0.37990                 2.39935                 2019-04-20 11:59:32.367654  
  0.01245                 8                       0.36816                 2.40749                 0.41840                 2.20091                 2019-04-20 11:59:37.168112  
  0.01245                 9                       0.37662                 2.35958                 0.41450                 2.21657                 2019-04-20 11:59:41.969310  
  0.01245                 10                      0.38538                 2.32695                 0.42590                 2.17260                 2019-04-20 11:59:46.843131  
  0.01245                 11                      0.39910                 2.27372                 0.42020                 2.20313                 2019-04-20 11:59:51.633680  
  0.01245                 12                      0.40750                 2.24333                 0.43510                 2.13828                 2019-04-20 11:59:56.328778  
  0.01245                 13                      0.41068                 2.21602                 0.44350                 2.09464                 2019-04-20 12:00:01.168302  
  0.01245                 14                      0.41622                 2.19220                 0.43500                 2.19208                 2019-04-20 12:00:06.003658  
  0.01245                 15                      0.42324                 2.16521                 0.46300                 2.01481                 2019-04-20 12:00:10.720603  
  0.01245                 16                      0.42918                 2.13530                 0.45450                 2.05727                 2019-04-20 12:00:15.527382  
  0.01245                 17                      0.43106                 2.12588                 0.46460                 1.98807                 2019-04-20 12:00:20.458761  
  0.01245                 18                      0.43578                 2.10685                 0.46260                 2.02360                 2019-04-20 12:00:25.292347  
  0.01245                 19                      0.43872                 2.08391                 0.45660                 2.04767                 2019-04-20 12:00:30.198988  
  0.01245                 20                      0.44310                 2.06950                 0.47030                 1.98023                 2019-04-20 12:00:35.004898  
  0.01245                 21                      0.44734                 2.04654                 0.47760                 1.95806                 2019-04-20 12:00:39.855622  
  0.01245                 22                      0.44904                 2.03723                 0.47690                 1.97151                 2019-04-20 12:00:44.749356  
  0.01245                 23                      0.45200                 2.02363                 0.48270                 1.93853                 2019-04-20 12:00:49.596677  
  0.01245                 24                      0.45446                 2.00961                 0.48240                 1.96524                 2019-04-20 12:00:54.417814  
  0.01245                 25                      0.45732                 1.99708                 0.47860                 1.96494                 2019-04-20 12:00:59.192121  
  0.01245                 26                      0.46418                 1.97701                 0.48650                 1.89600                 2019-04-20 12:01:03.964234  
  0.01245                 27                      0.46584                 1.97629                 0.49730                 1.85653                 2019-04-20 12:01:08.714442  
  0.01245                 28                      0.46618                 1.96187                 0.49230                 1.89899                 2019-04-20 12:01:13.547701  
  0.01245                 29                      0.46722                 1.95315                 0.48380                 1.93236                 2019-04-20 12:01:18.306509  
  0.01245                 30                      0.47170                 1.94242                 0.49480                 1.87646                 2019-04-20 12:01:23.153042  
  0.01245                 31                      0.46932                 1.94089                 0.49040                 1.91217                 2019-04-20 12:01:27.982284  
  0.01245                 32                      0.47402                 1.93043                 0.49480                 1.92920                 2019-04-20 12:01:32.839026  
  0.01245                 33                      0.47460                 1.92380                 0.49060                 1.92530                 2019-04-20 12:01:37.632518  
  0.01245                 34                      0.47696                 1.90523                 0.49730                 1.88556                 2019-04-20 12:01:42.418643  
  0.01245                 35                      0.48212                 1.90493                 0.48380                 1.92200                 2019-04-20 12:01:47.300531  
  0.01245                 36                      0.48012                 1.90400                 0.49110                 1.92845                 2019-04-20 12:01:52.184611  
  0.01245                 37                      0.48486                 1.88665                 0.49430                 1.86263                 2019-04-20 12:01:56.989004  
  0.01245                 38                      0.48546                 1.88186                 0.49750                 1.86748                 2019-04-20 12:02:01.822422  
  0.01245                 39                      0.48362                 1.88100                 0.50160                 1.83724                 2019-04-20 12:02:06.678039  
  0.01245                 40                      0.48694                 1.87647                 0.49520                 1.88228                 2019-04-20 12:02:11.516768  
  0.01245                 41                      0.48892                 1.86439                 0.49600                 1.88491                 2019-04-20 12:02:16.336471  
