shuhei:~.$ python nelder.py -model CNN -num 2 -round 0
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     ch1              ch2              ch3              ch4              drop_rate      
  6.010            -1.915           0.866            -3.810           6.509            6.287            4.906            5.128          


shuhei:~.$ python env.py -model CNN -num 2 -round 0 -cuda 0
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~.$ ./run.sh
shuhei:~.$ CUDA_VISIBLE_DEVICES=0 python train.py -model CNN -num 2 -round 0 -batch_size 64 -lr 0.01216548913120991 -momentum 0.8660439841154742 -weight_decay 0.00015494860447889984 -ch1 91 -ch2 78 -ch3 29 -ch4 34 -drop_rate 0.11762812560770447
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.01217                 1                       0.12748                 3.74071                 0.22530                 3.20887                 2019-04-20 04:58:37.134239  
  0.01217                 2                       0.22406                 3.13736                 0.26440                 2.90025                 2019-04-20 04:58:42.320857  
  0.01217                 3                       0.27272                 2.88084                 0.29510                 2.80496                 2019-04-20 04:58:47.466547  
  0.01217                 4                       0.30382                 2.72139                 0.34000                 2.58264                 2019-04-20 04:58:52.555299  
  0.01217                 5                       0.32776                 2.59772                 0.35270                 2.49405                 2019-04-20 04:58:57.543721  
  0.01217                 6                       0.34680                 2.50759                 0.39210                 2.33828                 2019-04-20 04:59:02.598679  
  0.01217                 7                       0.36424                 2.42958                 0.40650                 2.24176                 2019-04-20 04:59:07.640861  
  0.01217                 8                       0.37544                 2.37113                 0.42750                 2.16880                 2019-04-20 04:59:12.706788  
  0.01217                 9                       0.38728                 2.31920                 0.42640                 2.19695                 2019-04-20 04:59:17.830405  
  0.01217                 10                      0.39718                 2.27743                 0.42580                 2.19976                 2019-04-20 04:59:22.937535  
  0.01217                 11                      0.40402                 2.23231                 0.43670                 2.13719                 2019-04-20 04:59:27.964095  
  0.01217                 12                      0.40988                 2.19618                 0.44430                 2.09234                 2019-04-20 04:59:33.074713  
  0.01217                 13                      0.41828                 2.16352                 0.44730                 2.08529                 2019-04-20 04:59:38.136756  
  0.01217                 14                      0.42854                 2.13183                 0.46160                 2.02346                 2019-04-20 04:59:43.255816  
  0.01217                 15                      0.43304                 2.10879                 0.47030                 2.02397                 2019-04-20 04:59:48.415977  
  0.01217                 16                      0.44054                 2.08538                 0.46900                 2.01193                 2019-04-20 04:59:53.375562  
  0.01217                 17                      0.44186                 2.06640                 0.46760                 2.00379                 2019-04-20 04:59:58.478167  
  0.01217                 18                      0.44690                 2.05014                 0.48750                 1.92165                 2019-04-20 05:00:03.532224  
  0.01217                 19                      0.44908                 2.03225                 0.48620                 1.94261                 2019-04-20 05:00:08.599852  
  0.01217                 20                      0.45294                 2.01551                 0.48040                 1.92448                 2019-04-20 05:00:13.709380  
  0.01217                 21                      0.45884                 1.99130                 0.48570                 1.97054                 2019-04-20 05:00:18.766931  
  0.01217                 22                      0.46016                 1.98263                 0.49470                 1.89674                 2019-04-20 05:00:23.841679  
  0.01217                 23                      0.46610                 1.96395                 0.48510                 1.94864                 2019-04-20 05:00:28.893101  
  0.01217                 24                      0.46596                 1.95658                 0.48740                 1.92043                 2019-04-20 05:00:33.912610  
  0.01217                 25                      0.47022                 1.94162                 0.49600                 1.89298                 2019-04-20 05:00:38.947917  
  0.01217                 26                      0.47328                 1.93255                 0.49570                 1.90415                 2019-04-20 05:00:43.990660  
  0.01217                 27                      0.47974                 1.91603                 0.50150                 1.87303                 2019-04-20 05:00:49.004496  
  0.01217                 28                      0.47822                 1.90148                 0.48990                 1.91518                 2019-04-20 05:00:54.078579  
  0.01217                 29                      0.47770                 1.89638                 0.49720                 1.86923                 2019-04-20 05:00:59.137747  
  0.01217                 30                      0.48178                 1.88659                 0.49380                 1.91278                 2019-04-20 05:01:04.192841  
  0.01217                 31                      0.48510                 1.88319                 0.50380                 1.89019                 2019-04-20 05:01:09.357509  
  0.01217                 32                      0.48744                 1.87609                 0.50970                 1.83323                 2019-04-20 05:01:14.426301  
  0.01217                 33                      0.48616                 1.86182                 0.50830                 1.86582                 2019-04-20 05:01:19.511831  
  0.01217                 34                      0.49086                 1.85412                 0.49250                 1.91535                 2019-04-20 05:01:24.550053  
  0.01217                 35                      0.49046                 1.84787                 0.50090                 1.87983                 2019-04-20 05:01:29.552522  
  0.01217                 36                      0.49284                 1.84317                 0.50930                 1.83334                 2019-04-20 05:01:34.683312  
  0.01217                 37                      0.49564                 1.83043                 0.50000                 1.86002                 2019-04-20 05:01:39.792248  
  0.01217                 38                      0.49364                 1.83162                 0.49400                 1.95160                 2019-04-20 05:01:44.787971  
  0.01217                 39                      0.49858                 1.82133                 0.49770                 1.89178                 2019-04-20 05:01:49.898321  
  0.01217                 40                      0.49780                 1.81122                 0.51960                 1.82244                 2019-04-20 05:01:54.918074  
  0.01217                 41                      0.50174                 1.81045                 0.51880                 1.79319                 2019-04-20 05:01:59.948145  
  0.01217                 42                      0.50376                 1.79085                 0.50380                 1.82887                 2019-04-20 05:02:05.025058  
  0.01217                 43                      0.50326                 1.79896                 0.50250                 1.91501                 2019-04-20 05:02:10.151711  
  0.01217                 44                      0.50690                 1.78770                 0.50770                 1.83991                 2019-04-20 05:02:15.273651  
  0.01217                 45                      0.50816                 1.78152                 0.51420                 1.82859                 2019-04-20 05:02:20.350565  
  0.01217                 46                      0.50712                 1.77774                 0.52470                 1.77157                 2019-04-20 05:02:25.360219  
  0.01217                 47                      0.50962                 1.77600                 0.51930                 1.82477                 2019-04-20 05:02:30.402540  
  0.01217                 48                      0.51136                 1.76702                 0.50850                 1.86514                 2019-04-20 05:02:35.515796  
