shuhei:~$ python nelder.py -model WideResNet -num 0 -round 1
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     width_coef1      width_coef2      width_coef3      n_blocks1        n_blocks2        n_blocks3        drop_rates1      drop_rates2      drop_rates3      lr_decay       
  7.000            -1.000           0.900            -3.301           3.322            3.322            3.322            4                4                4                0.200            0.200            0.200            -0.301         


shuhei:~$ python env.py -model WideResNet -num 0 -round 1 -cuda 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~$ sh run.sh
shuhei:~$ CUDA_VISIBLE_DEVICES=1 python train.py -model WideResNet -num 0 -round 1 -batch_size 128 -lr 0.10000000000000005 -momentum 0.9 -weight_decay 0.0005000000000000004 -width_coef1 10 -width_coef2 10 -width_coef3 10 -n_blocks1 4 -n_blocks2 4 -n_blocks3 4 -drop_rates1 0.2 -drop_rates2 0.2 -drop_rates3 0.2 -lr_decay 0.5000000000000001
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.1                     1                       0.09358                 3.94364                 0.13250                 3.66867                 2019-04-10 20:00:53.293155  
  0.1                     2                       0.18600                 3.35468                 0.21760                 3.16361                 2019-04-10 20:03:31.064436  
  0.1                     3                       0.26240                 2.93361                 0.27900                 2.84084                 2019-04-10 20:06:09.006140  
  0.1                     4                       0.32126                 2.61604                 0.30970                 2.66022                 2019-04-10 20:08:46.389181  
  0.1                     5                       0.37512                 2.36153                 0.36450                 2.42467                 2019-04-10 20:11:23.240954  
  0.1                     6                       0.41648                 2.17720                 0.41500                 2.18178                 2019-04-10 20:14:00.647073  
  0.1                     7                       0.44906                 2.01481                 0.42200                 2.14801                 2019-04-10 20:16:38.194952  
  0.1                     8                       0.47730                 1.89237                 0.44140                 2.05919                 2019-04-10 20:19:15.499685  
  0.1                     9                       0.49866                 1.78942                 0.47450                 1.96692                 2019-04-10 20:21:52.538376  
  0.1                     10                      0.52622                 1.70269                 0.46340                 2.05879                 2019-04-10 20:24:30.334736  
  0.1                     11                      0.54114                 1.63157                 0.48590                 1.90037                 2019-04-10 20:27:08.589808  
  0.1                     12                      0.55436                 1.58031                 0.46820                 1.95421                 2019-04-10 20:29:46.997895  
  0.1                     13                      0.56852                 1.52284                 0.53310                 1.74081                 2019-04-10 20:32:25.520521  
  0.1                     14                      0.57994                 1.48713                 0.52460                 1.72385                 2019-04-10 20:35:04.247737  
  0.1                     15                      0.58830                 1.45291                 0.52880                 1.70594                 2019-04-10 20:37:42.430802  
  0.1                     16                      0.59856                 1.41327                 0.51040                 1.80770                 2019-04-10 20:40:20.646939  
  0.1                     17                      0.60374                 1.38714                 0.54170                 1.70143                 2019-04-10 20:42:58.555524  
  0.1                     18                      0.60952                 1.36783                 0.50020                 1.88870                 2019-04-10 20:45:36.425436  
  0.1                     19                      0.61284                 1.35035                 0.54210                 1.66910                 2019-04-10 20:48:14.173693  
