shuhei:~$ rm storage/WideResNet/storage.csv
shuhei:~$ rm simplex/WideResNet/simplex.csv
shuhei:~$ rm operation/WideResNet/0/operations.csv
shuhei:~$ rm evaluation/WideResNet/0/evaluation.csv
shuhei:~$ rm log/WideResNet/0/*.csv
shuhei:~$ python nelder.py -model WideResNet -num 0 -round 1
Will get the positions by Nelder-Mead Method.
Saving the position data as shown below...
  batch_size       lr               momentum         weight_decay     width_coef1      width_coef2      width_coef3      n_blocks1        n_blocks2        n_blocks3        drop_rates1      drop_rates2      drop_rates3      lr_decay       
  7.000            -1.000           0.900            -3.301           3.322            3.322            3.322            4                4                4                0.200            0.200            0.200            -0.301         


shuhei:~$ python env.py -model WideResNet -num 0 -round 1
Collecting Environment Variables and Putting in Shell Scripts.

shuhei:~$ sh run.sh
shuhei:~$ CUDA_VISIBLE_DEVICES=1 python train.py -model WideResNet -num 0 -round 1 -batch_size 128 -lr 0.10000000000000005 -momentum 0.9 -weight_decay 0.0005000000000000004 -width_coef1 10 -width_coef2 10 -width_coef3 10 -n_blocks1 4 -n_blocks2 4 -n_blocks3 4 -drop_rates1 0.2 -drop_rates2 0.2 -drop_rates3 0.2 -lr_decay 0.5000000000000001
Start Training


Files already downloaded and verified
  lr                      epoch                   TrainAcc                TrainLoss               TestAcc                 TestLoss                Time                  
  0.1                     1                       0.091                   3.943                   0.125                   3.720                   2019-04-10 14:45:15.703996  
  0.1                     2                       0.185                   3.353                   0.167                   3.709                   2019-04-10 14:47:25.866071  
  0.1                     3                       0.263                   2.926                   0.272                   2.850                   2019-04-10 14:49:36.091140  
  0.1                     4                       0.320                   2.623                   0.304                   2.715                   2019-04-10 14:51:46.586330  
  0.1                     5                       0.369                   2.392                   0.349                   2.525                   2019-04-10 14:53:56.672196  
  0.1                     6                       0.410                   2.202                   0.383                   2.314                   2019-04-10 14:56:06.695876  
  0.1                     7                       0.444                   2.058                   0.432                   2.140                   2019-04-10 14:58:17.747849  
  0.1                     8                       0.471                   1.938                   0.449                   2.062                   2019-04-10 15:00:28.454251  
  0.1                     9                       0.494                   1.835                   0.458                   2.059                   2019-04-10 15:02:39.226950  
  0.1                     10                      0.516                   1.738                   0.458                   2.051                   2019-04-10 15:04:50.327119  
  0.1                     11                      0.530                   1.676                   0.473                   1.954                   2019-04-10 15:07:01.087435  
  0.1                     12                      0.549                   1.602                   0.488                   1.918                   2019-04-10 15:09:11.945759  
  0.1                     13                      0.567                   1.550                   0.476                   1.993                   2019-04-10 15:11:22.696588  
  0.1                     14                      0.577                   1.503                   0.474                   1.971                   2019-04-10 15:13:33.273279  
