var_name;type;default;bound;dist
batch_size;int;128;[32,512];log2
lr;float;1.0e-1;[1.0e-4,1.0];log10
momentum;float;0.9;[0.8,1.0];uniform
weight_decay;float;5.0e-4;[5.0e-6,5.0e-2];log10
width_coef1;int;10;[4,16];log2
width_coef2;int;10;[4,16];log2
width_coef3;int;10;[4,16];log2
n_blocks1;int;4;[4,4];uniform
n_blocks2;int;4;[4,4];uniform
n_blocks3;int;4;[4,4];uniform
drop_rates1;float;0.2;[0,0.5];uniform
drop_rates2;float;0.2;[0,0.5];uniform
drop_rates3;float;0.2;[0,0.5];uniform
lr_decay;float;0.2;[1.0e-2,1.0];log10
loss;float;1.0e+8;[0,1.0e+8];uniform
